systemTimeStamp,timeStartup,timeGps,timeSyncIn,timeGpsPps,utcYear,utcMonth,utcDay,utcHour,utcMinute,utcSecond,utcFracsec,imuStatus,temperature,pressure,magX,magY,magZ,accelX,accelY,accelZ,gps1UtcYear,gps1UtcMonth,gps1UtcDay,gps1UtcHour,gps1UtcMinute,gps1UtcSecond,gps1UtcFracsec,gnss1NumSats,gnss1Fix,gnss1PosLat,gnss1PosLon,gnss1PosAlt,gnss1PosEcefX,gnss1PosEcefY,gnss1PosEcefY,gnss1PosUncertaintyN,gnss1PosUncertaintyE,gnss1PosUncertaintyD,yaw,pitch,roll,quatX,quatY,quatZ,quatW,insStatus,lat,lon,alt,posEcefX,posEcefY,posEcefZ,posU
300682411447,306501257000,1420932772660406528,306501257000,660417000,25,1,14,23,32,38,661,16,29.090000,102.124008,0.654885,1.778121,3.785244,-0.453484,-0.748617,-8.856211,25,1,14,23,32,34,600,7,3,32.865577,-117.254148,-17.637000,-2455723.585110,-4767234.093444,3441436.653078,4.962441,4.731215,9.976528,35.991394,-4.830620,7.385364,-0.074192,0.020118,-0.310612,-0.947423,133,32.865579,-117.254148,-20.726587,-2455722.409716,-4767231.827543,3441435.168214,1.780402
300707004133,306526257000,1420932772685406720,306526257000,685417000,25,1,14,23,32,38,686,16,29.099998,102.124008,0.651866,1.776628,3.784083,-0.428706,-0.739810,-8.776917,25,1,14,23,32,34,600,7,3,32.865577,-117.254148,-17.637000,-2455723.585110,-4767234.093444,3441436.653078,4.962441,4.731215,9.976528,35.191830,-4.441667,7.758712,-0.076130,0.016416,-0.303882,-0.949521,133,32.865578,-117.254148,-20.750550,-2455722.411243,-4767231.814448,3441435.140993,1.781509
300732352910,306551257000,1420932772710406656,306551257000,710417000,25,1,14,23,32,38,711,16,29.090000,102.137001,0.647234,1.776318,3.783378,-0.252904,-0.754363,-8.968091,25,1,14,23,32,34,600,7,3,32.865577,-117.254148,-17.637000,-2455723.585110,-4767234.093444,3441436.653078,4.962441,4.731215,9.976528,34.420067,-4.056682,8.113289,-0.077979,0.012807,-0.297341,-0.951496,32901,32.865578,-117.254148,-20.775107,-2455722.412764,-4767231.800776,3441435.113474,1.782630
300757732336,306576257000,1420932772735406592,306576257000,735417000,25,1,14,23,32,38,736,0,29.094997,102.129005,0.644436,1.774109,3.782704,0.081727,-0.847843,-9.266220,25,1,14,23,32,34,600,7,3,32.865577,-117.254148,-17.637000,-2455723.585110,-4767234.093444,3441436.653078,4.962441,4.731215,9.976528,33.689827,-3.757225,8.435073,-0.079824,0.009990,-0.291150,-0.953289,32901,32.865578,-117.254148,-20.800212,-2455722.415668,-4767231.785818,3441435.085736,1.783758
300782053707,306601257000,1420932772760406784,306601257000,760417000,25,1,14,23,32,38,761,16,29.090000,102.150002,0.641420,1.772366,3.780597,-0.105054,-0.977552,-9.434664,25,1,14,23,32,34,600,7,3,32.865577,-117.254148,-17.637000,-2455723.585110,-4767234.093444,3441436.653078,4.962441,4.731215,9.976528,33.001850,-3.595696,8.736706,-0.081880,0.008370,-0.285358,-0.954880,133,32.865578,-117.254148,-20.825585,-2455722.417734,-4767231.771192,3441435.057640,1.784906
300807472910,306626257000,1420932772785406464,306626257000,785417000,25,1,14,23,32,38,786,16,29.090000,102.124008,0.641415,1.771643,3.780372,-0.565853,-1.026914,-9.282587,25,1,14,23,32,34,600,7,3,32.865577,-117.254148,-17.637000,-2455723.585110,-4767234.093444,3441436.653078,4.962441,4.731215,9.976528,32.384789,-3.507951,9.017605,-0.083967,0.007391,-0.280181,-0.956239,133,32.865578,-117.254148,-20.851155,-2455722.420082,-4767231.756268,3441435.029393,1.786069
300831840058,306651257000,1420932772810406656,306651257000,810417000,25,1,14,23,32,38,811,16,29.094997,102.137001,0.639334,1.772094,3.780128,-0.475225,-0.917911,-9.321401,25,1,14,23,32,34,600,7,3,32.865577,-117.254148,-17.637000,-2455723.585110,-4767234.093444,3441436.653078,4.962441,4.731215,9.976528,31.858875,-3.413374,9.283246,-0.085928,0.006346,-0.275749,-0.957360,32901,32.865578,-117.254148,-20.876936,-2455722.422485,-4767231.741027,3441435.001154,1.787244
300857598947,306676257000,1420932772835406592,306676257000,835417000,25,1,14,23,32,38,836,0,29.109999,102.129005,0.640261,1.770888,3.778246,-0.288436,-0.883612,-9.285366,25,1,14,23,32,34,800,7,3,32.865576,-117.254148,-17.603000,-2455723.665110,-4767234.143444,3441436.583078,4.964174,4.791933,10.000239,31.397968,-3.306476,9.567724,-0.088032,0.005121,-0.271845,-0.958293,32901,32.865577,-117.254149,-20.902995,-2455722.426325,-4767231.724640,3441434.972958,1.788194
300882117095,306701257000,1420932772860406528,306701257000,860417000,25,1,14,23,32,38,861,16,29.109999,102.129005,0.639346,1.771589,3.777284,-0.190286,-0.900921,-9.047893,25,1,14,23,32,34,800,7,3,32.865576,-117.254148,-17.603000,-2455723.665110,-4767234.143444,3441436.583078,4.964174,4.791933,10.000239,30.988539,-3.211640,9.896623,-0.090548,0.003870,-0.268371,-0.959043,133,32.865577,-117.254149,-20.832187,-2455722.462271,-4767231.781363,3441434.999912,1.771028
300907549966,306726257000,1420932772885406720,306726257000,885417000,25,1,14,23,32,38,886,16,29.100002,102.129005,0.639338,1.770869,3.777535,-0.069342,-0.951131,-8.911863,25,1,14,23,32,34,800,7,3,32.865576,-117.254148,-17.603000,-2455723.665110,-4767234.143444,3441436.583078,4.964174,4.791933,10.000239,30.608519,-3.157370,10.276261,-0.093591,0.002837,-0.265164,-0.959646,133,32.865577,-117.254149,-20.858683,-2455722.465416,-4767231.764809,3441434.971635,1.772410
300931859984,306751257000,1420932772910406656,306751257000,910417000,25,1,14,23,32,38,911,16,29.109999,102.129005,0.639114,1.771831,3.777756,0.078524,-1.239805,-8.945539,25,1,14,23,32,34,800,7,3,32.865576,-117.254148,-17.603000,-2455723.665110,-4767234.143444,3441436.583078,4.964174,4.791933,10.000239,30.219952,-3.197766,10.743198,-0.097585,0.002426,-0.261949,-0.960132,32901,32.865577,-117.254149,-20.885721,-2455722.468666,-4767231.747719,3441434.943023,1.773577
300957217336,306776257000,1420932772935406592,306776257000,935417000,25,1,14,23,32,38,936,0,29.089996,102.124008,0.639387,1.775920,3.777211,0.003305,-1.512078,-9.242503,25,1,14,23,32,34,800,7,3,32.865576,-117.254148,-17.603000,-2455723.665110,-4767234.143444,3441436.583078,4.964174,4.791933,10.000239,29.790142,-3.448047,11.288354,-0.102698,0.003664,-0.258547,-0.960517,32901,32.865577,-117.254149,-20.913239,-2455722.472093,-4767231.730173,3441434.914028,1.774521
300982560077,306801257000,1420932772960406528,306801257000,960417000,25,1,14,23,32,38,961,16,29.100002,102.129005,0.642414,1.778378,3.778594,-0.286636,-1.929383,-9.387383,25,1,14,23,32,34,800,7,3,32.865576,-117.254148,-17.603000,-2455723.665110,-4767234.143444,3441436.583078,4.964174,4.791933,10.000239,29.296223,-3.961558,11.851813,-0.108521,0.007170,-0.254833,-0.960850,133,32.865577,-117.254149,-20.941054,-2455722.475848,-4767231.712323,3441434.884672,1.775955
301006881595,306826257000,1420932772985406720,306826257000,985417000,25,1,14,23,32,38,986,16,29.100002,102.129005,0.647534,1.781587,3.779962,-0.912531,-2.355381,-9.927919,25,1,14,23,32,34,800,7,3,32.865576,-117.254148,-17.603000,-2455723.665110,-4767234.143444,3441436.583078,4.964174,4.791933,10.000239,28.749401,-4.717185,12.372318,-0.114455,0.012903,-0.250903,-0.961135,133,32.865577,-117.254149,-20.968946,-2455722.479647,-4767231.694479,3441434.855134,1.777167
301032185762,306851257000,1420932773010406656,306851257000,10420000,25,1,14,23,32,39,11,16,29.105000,102.141006,0.651695,1.782636,3.783506,-1.569978,-2.406821,-10.242510,25,1,14,23,32,34,800,7,3,32.865576,-117.254148,-17.603000,-2455723.665110,-4767234.143444,3441436.583078,4.964174,4.791933,10.000239,28.181122,-5.697963,12.797563,-0.119986,0.020809,-0.247012,-0.961330,32901,32.865576,-117.254149,-20.996547,-2455722.483399,-4767231.676947,3441434.825736,1.778394
301057477910,306876257000,1420932773035406592,306876257000,35420000,25,1,14,23,32,39,36,0,29.094997,102.129005,0.660498,1.784712,3.787268,-2.519757,-2.188094,-10.347925,25,1,14,23,32,34,800,7,3,32.865576,-117.254148,-17.603000,-2455723.665110,-4767234.143444,3441436.583078,4.964174,4.791933,10.000239,27.646250,-6.745602,13.128495,-0.124779,0.029488,-0.243479,-0.961394,32901,32.865576,-117.254149,-21.023622,-2455722.487048,-4767231.659818,3441434.796827,1.779634
301081681910,306901257000,1420932773060408832,306901257000,60420000,25,1,14,23,32,39,61,16,29.109999,102.141006,0.665359,1.786494,3.791038,-3.269619,-2.124833,-9.974186,25,1,14,23,32,35,0,7,3,32.865575,-117.254149,-17.633000,-2455723.725110,-4767234.153444,3441436.473078,4.968851,4.845332,10.022514,27.223034,-7.622952,13.415788,-0.128812,0.036736,-0.240756,-0.961298,133,32.865576,-117.254149,-20.954649,-2455722.515262,-4767231.709985,3441434.834900,1.762462
301107009762,306926257000,1420932773085408768,306926257000,85420000,25,1,14,23,32,39,86,16,29.109999,102.129005,0.670704,1.787521,3.790066,-3.211089,-2.012549,-9.418941,25,1,14,23,32,35,0,7,3,32.865575,-117.254149,-17.633000,-2455723.725110,-4767234.153444,3441436.473078,4.968851,4.845332,10.022514,26.972511,-8.093774,13.668859,-0.131772,0.040456,-0.239144,-0.961150,133,32.865576,-117.254150,-20.980470,-2455722.517756,-4767231.693200,3441434.808648,1.763893
301132435114,306951256000,1420932773110407936,306951256000,110419000,25,1,14,23,32,39,111,16,29.109999,102.129005,0.669321,1.788466,3.790289,-2.407687,-1.891246,-9.674351,25,1,14,23,32,35,0,7,3,32.865575,-117.254149,-17.633000,-2455723.725110,-4767234.153444,3441436.473078,4.968851,4.845332,10.022514,26.895231,-8.112773,13.901278,-0.133731,0.040221,-0.238594,-0.961026,32901,32.865576,-117.254150,-21.006141,-2455722.519772,-4767231.676359,3441434.783086,1.765091
301156926984,306976257000,1420932773135408896,306976257000,135420000,25,1,14,23,32,39,136,0,29.109999,102.129005,0.670283,1.791599,3.789284,-1.545609,-2.171375,-10.163919,25,1,14,23,32,35,0,7,3,32.865575,-117.254149,-17.633000,-2455723.725110,-4767234.153444,3441436.473078,4.968851,4.845332,10.022514,26.894323,-7.977311,14.154790,-0.135594,0.038554,-0.238553,-0.960844,32901,32.865576,-117.254150,-21.031608,-2455722.521628,-4767231.659422,3441434.758146,1.766294
301182082280,307001257000,1420932773160408832,307001257000,160420000,25,1,14,23,32,39,161,16,29.099998,102.137001,0.671685,1.792818,3.789025,-1.417527,-2.509806,-10.341795,25,1,14,23,32,35,0,7,3,32.865575,-117.254149,-17.633000,-2455723.725110,-4767234.153444,3441436.473078,4.968851,4.845332,10.022514,26.837624,-8.019769,14.432076,-0.137982,0.038402,-0.238210,-0.960595,133,32.865576,-117.254150,-21.056629,-2455722.523768,-4767231.642700,3441434.733532,1.767509
301206903318,307026257000,1420932773185408768,307026257000,185420000,25,1,14,23,32,39,186,16,29.109999,102.129005,0.673321,1.795505,3.791118,-1.925327,-2.713917,-10.251062,25,1,14,23,32,35,0,7,3,32.865575,-117.254149,-17.633000,-2455723.725110,-4767234.153444,3441436.473078,4.968851,4.845332,10.022514,26.723717,-8.285568,14.663469,-0.140394,0.040297,-0.237581,-0.960323,133,32.865576,-117.254150,-21.081052,-2455722.526204,-4767231.626415,3441434.709207,1.768736
301232238466,307051257000,1420932773210408704,307051257000,210420000,25,1,14,23,32,39,211,16,29.109999,102.129005,0.672624,1.795256,3.791123,-2.244431,-2.691807,-10.027065,25,1,14,23,32,35,0,7,3,32.865575,-117.254149,-17.633000,-2455723.725110,-4767234.153444,3441436.473078,4.968851,4.845332,10.022514,26.655827,-8.550875,14.757933,-0.141668,0.042418,-0.237295,-0.960115,32901,32.865576,-117.254150,-21.104869,-2455722.528652,-4767231.610597,3441434.685348,1.769976
301256759373,307076257000,1420932773235408896,307076257000,235420000,25,1,14,23,32,39,236,0,29.109999,102.129005,0.673559,1.796233,3.791343,-2.332882,-2.545178,-9.983824,25,1,14,23,32,35,0,7,3,32.865575,-117.254149,-17.633000,-2455723.725110,-4767234.153444,3441436.473078,4.968851,4.845332,10.022514,26.717604,-8.638818,14.733335,-0.141653,0.043133,-0.237886,-0.959940,32901,32.865575,-117.254150,-21.128197,-2455722.530955,-4767231.595124,3441434.662020,1.771227
